product_id,product_name,genre,stock_quantity,expiry_date
uuid-001,コカ・コーラ 500ml,飲料,120,2026-08-01
uuid-002,午後の紅茶 ミルクティー,飲料,85,2026-07-15
uuid-003,食パン 6枚切り,パン,30,2026-03-20
uuid-004,クリームパン,パン,24,2026-03-18
uuid-005,カップヌードル しょうゆ,即席麺,200,2027-01-10
uuid-006,明治ミルクチョコレート,菓子,60,2026-12-01
uuid-007,ポテトチップス うすしお,菓子,75,2026-10-05
uuid-008,森永牛乳 1L,乳製品,40,2026-03-22
uuid-009,ブルガリアヨーグルト,乳製品,35,2026-03-25
uuid-010,卵 10個入り,卵,50,2026-03-28
uuid-011,おにぎり 鮭,惣菜,15,2026-03-17
uuid-012,おにぎり ツナマヨ,惣菜,18,2026-03-17
uuid-013,サンドイッチ ハム,惣菜,10,2026-03-17
uuid-014,からあげくん,惣菜,8,2026-03-16
uuid-015,プリン カスタード,スイーツ,22,2026-03-21
uuid-016,ショートケーキ,スイーツ,12,2026-03-19
uuid-017,バナナ 1房,果物,45,2026-03-20
uuid-018,りんご 袋入り,果物,30,2026-04-10
uuid-019,もやし 200g,野菜,60,2026-03-18
uuid-020,カット野菜 ミックス,野菜,25,2026-03-19
uuid-021,緑茶 PET 2L,飲料,90,2026-09-01
uuid-022,レッドブル 250ml,飲料,55,2027-03-01
uuid-023,チキンラーメン,即席麺,150,2026-11-20
uuid-024,カマンベールチーズ,乳製品,20,2026-04-05
uuid-025,スライスチーズ 7枚,乳製品,38,2026-05-01
uuid-026,ハーゲンダッツ バニラ,アイス,44,2027-06-01
uuid-027,ガリガリ君 ソーダ,アイス,80,2027-08-15
uuid-028,唐揚げ弁当,弁当,7,2026-03-16
uuid-029,幕の内弁当,弁当,9,2026-03-16
uuid-030,のり弁当,弁当,11,2026-03-16
